Time,X_Index,Y_Index,Concentration
0.11700,25,6,0.04832
0.11700,25,7,0.05702
0.11700,25,8,0.06603
0.11700,25,9,0.07537
0.11700,25,10,0.08510
0.11700,25,11,0.09524
0.11700,25,12,0.10584
0.11700,25,13,0.11694
0.11700,25,14,0.12856
0.11700,25,15,0.14074
0.11700,25,16,0.15352
0.11700,25,17,0.16692
0.11700,25,18,0.18097
0.11700,25,19,0.19570
0.11700,25,20,0.21113
0.11700,25,21,0.22728
0.11700,25,22,0.24418
0.11700,25,23,0.26183
0.11700,25,24,0.28026
0.11700,25,25,0.29948
0.11700,25,26,0.31948
0.11700,25,27,0.34028
0.11700,25,28,0.36188
0.11700,25,29,0.38427
0.11700,25,30,0.40745
0.11700,25,31,0.43141
0.11700,25,32,0.45615
0.11700,25,33,0.48163
0.11700,25,34,0.50785
0.11700,25,35,0.53479
0.11700,25,36,0.56241
0.11700,25,37,0.59069
0.11700,25,38,0.61960
0.11700,25,39,0.64910
0.11700,25,40,0.67915
0.11700,25,41,0.70971
0.11700,25,42,0.74075
0.11700,25,43,0.77220
0.11700,25,44,0.80403
0.11700,25,45,0.83619
0.11700,25,46,0.86862
0.11700,25,47,0.90127
0.11700,25,48,0.93409
0.11700,25,49,0.96702
0.11700,25,50,1.00000
0.12600,25,0,0.00000
0.12600,25,1,0.00875
0.12600,25,2,0.01755
0.12600,25,3,0.02642
0.12600,25,4,0.03542
0.12600,25,5,0.04459
0.12600,25,6,0.05395
0.12600,25,7,0.06356
0.12600,25,8,0.07345
0.12600,25,9,0.08367
0.12600,25,10,0.09423
0.12600,25,11,0.10519
0.12600,25,12,0.11658
0.12600,25,13,0.12843
0.12600,25,14,0.14078
0.12600,25,15,0.15364
0.12600,25,16,0.16706
0.12600,25,17,0.18106
0.12600,25,18,0.19567
0.12600,25,19,0.21090
0.12600,25,20,0.22679
0.12600,25,21,0.24334
0.12600,25,22,0.26058
0.12600,25,23,0.27851
0.12600,25,24,0.29716
0.12600,25,25,0.31652
0.12600,25,26,0.33661
0.12600,25,27,0.35742
0.12600,25,28,0.37896
0.12600,25,29,0.40123
0.12600,25,30,0.42421
0.12600,25,31,0.44790
0.12600,25,32,0.47229
0.12600,25,33,0.49736
0.12600,25,34,0.52309
0.12600,25,35,0.54947
