seed,ita,N,steps,stop_threshold,debug,omega,parallel,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
5,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.19629225736095965,7983,0.887,144.83993425694294,1.618519598650425,0.9999283634031911,175,262,0.6679389312977099,0.0,0,1894,1072,5726,0.5659978880675819
6,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1541782300339192,8068,0.8964444444444445,152.56192149055047,1.5276412177505951,0.9986947208828767,207,282,0.7340425531914894,0.0,0,1828,1053,5729,0.5760393873085339
7,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.18446402951424473,7993,0.8881111111111111,156.71968216461445,1.6075064454854255,0.9999672220511071,170,287,0.5923344947735192,0.0,0,1882,1119,5819,0.5945802337938364
8,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1758018517795054,7980,0.8866666666666667,155.01434091363575,1.751250170264592,0.9998289826232782,179,286,0.6258741258741258,0.0,0,1809,1152,5805,0.6368159203980099
9,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.18660584698320548,7894,0.8771111111111111,143.82412485007126,1.621037393599074,0.9999174686371557,182,265,0.6867924528301886,0.0,0,1776,1045,5647,0.5884009009009009
10,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1,8052,0.8946666666666667,184.59108742178088,1.373616964810017,0.9971195517099694,300,300,1.0,1.0,1,1842,1118,5851,0.6069489685124865
11,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1810610175629187,7981,0.8867777777777778,144.01731724576274,1.724230250408147,0.9994427776985713,189,263,0.7186311787072244,0.0,0,1803,1090,5760,0.6045479755962285
12,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.19122083882207963,8006,0.8895555555555555,139.0917934315321,1.632672283260498,0.999962655306581,202,233,0.8669527896995708,0.0,0,1822,1084,5758,0.5949506037321625
13,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.16418264407027017,7983,0.887,149.33706580156925,1.666491641698179,0.9998784789968765,191,287,0.6655052264808362,0.0,0,1828,1115,5790,0.6099562363238512
14,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.15641293013555788,8051,0.8945555555555555,154.73549187062562,1.645338580451462,0.9997756521874848,210,274,0.7664233576642335,0.0,0,1907,1086,5768,0.5694808599895124
15,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.19973812113007391,8012,0.8902222222222222,151.61616595131858,1.6075064454854255,0.9972897481351619,157,287,0.5470383275261324,0.0,0,1844,1060,5701,0.5748373101952278
16,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.1749101156350209,7990,0.8877777777777778,144.74344966948323,1.6130340397399232,0.9993795815811223,205,251,0.8167330677290837,0.0,0,1853,1093,5764,0.5898542903399892
17,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.193631669535284,7995,0.8883333333333333,164.26665077110314,1.6505847673602831,0.9993840682766507,166,280,0.5928571428571429,0.0,0,1898,1031,5716,0.5432033719704953
18,0.8,300,10000,0.1,False,1.78,True,9000,0.1,0.13274336283185842,8039,0.8932222222222223,180.3441540191666,1.5330445952288863,0.9996159412332034,226,300,0.7533333333333333,0.7533333333333333,1,1811,1075,5834,0.5935946990612921
